2017-01-22 19:58:14 +0100 | Logfile created at log/prnstn.log
2017-01-26 10:40:39 +0100 || PRNSTN 0.1.0 on a Ubuntu 12.04 machine
2017-01-26 10:40:39 +0100 || ----------------
2017-01-26 10:40:39 +0100 || Init application...
2017-01-26 10:40:39 +0100 || Prnstn is starting...
2017-01-26 10:40:39 +0100 || Token provided: 1234
2017-01-26 10:40:39 +0100 || Start application...
2017-01-26 10:40:39 +0100 || Checking printer...
2017-01-26 10:40:56 +0100 || ----------------
2017-01-26 10:40:56 +0100 || PRNSTN 0.1.0 on a Ubuntu 12.04 machine
2017-01-26 10:40:56 +0100 || ----------------
2017-01-26 10:40:56 +0100 || Init application...
2017-01-26 10:40:56 +0100 || Prnstn is starting...
2017-01-26 10:40:56 +0100 || Token provided: 1234
2017-01-26 10:40:56 +0100 || Start application...
2017-01-26 10:40:56 +0100 || Checking printer...
2017-01-26 10:40:56 +0100 || A printer was found. {:state=>:idle, :reasons=>["none"]}
2017-01-26 10:41:04 +0100 || ----------------
2017-01-26 10:41:04 +0100 || PRNSTN 0.1.0 on a Ubuntu 12.04 machine
2017-01-26 10:41:04 +0100 || ----------------
2017-01-26 10:41:04 +0100 || Init application...
2017-01-26 10:41:04 +0100 || Prnstn is starting...
2017-01-26 10:41:04 +0100 || Token provided: 1234
2017-01-26 10:41:04 +0100 || Start application...
2017-01-26 10:41:04 +0100 || Checking printer...
2017-01-26 10:41:05 +0100 || A printer was found. {:state=>:idle, :reasons=>["none"]}
2017-01-26 10:42:04 +0100 || ----------------
2017-01-26 10:42:04 +0100 || PRNSTN 0.1.0 on a Ubuntu 12.04 machine
2017-01-26 10:42:04 +0100 || ----------------
2017-01-26 10:42:04 +0100 || Init application...
2017-01-26 10:42:04 +0100 || Prnstn is starting...
2017-01-26 10:42:04 +0100 || Token provided: 1234
2017-01-26 10:42:04 +0100 || Start application...
2017-01-26 10:42:04 +0100 || Checking printer...
2017-01-26 10:42:12 +0100 || ----------------
2017-01-26 10:42:12 +0100 || PRNSTN 0.1.0 on a Ubuntu 12.04 machine
2017-01-26 10:42:12 +0100 || ----------------
2017-01-26 10:42:12 +0100 || Init application...
2017-01-26 10:42:12 +0100 || Prnstn is starting...
2017-01-26 10:42:12 +0100 || Token provided: 1234
2017-01-26 10:42:12 +0100 || Start application...
2017-01-26 10:42:12 +0100 || Checking printer...
2017-01-26 10:42:13 +0100 || A printer was found. {:state=>:idle, :reasons=>["none"]}
2017-01-26 10:44:24 +0100 || ----------------
2017-01-26 10:44:24 +0100 || PRNSTN 0.1.0 on a Ubuntu 12.04 machine
2017-01-26 10:44:24 +0100 || ----------------
2017-01-26 10:44:24 +0100 || Init application...
2017-01-26 10:44:24 +0100 || Prnstn is starting...
2017-01-26 10:44:24 +0100 || Token provided: 1234
2017-01-26 10:44:24 +0100 || Start application...
2017-01-26 10:44:24 +0100 || Checking printer...
2017-01-26 10:44:39 +0100 || ----------------
2017-01-26 10:44:39 +0100 || PRNSTN 0.1.0 on a Ubuntu 12.04 machine
2017-01-26 10:44:39 +0100 || ----------------
2017-01-26 10:44:39 +0100 || Init application...
2017-01-26 10:44:39 +0100 || Prnstn is starting...
2017-01-26 10:44:39 +0100 || Token provided: 1234
2017-01-26 10:44:39 +0100 || Start application...
2017-01-26 10:44:39 +0100 || Checking printer...
2017-01-26 10:44:59 +0100 || ----------------
2017-01-26 10:44:59 +0100 || PRNSTN 0.1.0 on a Ubuntu 12.04 machine
2017-01-26 10:44:59 +0100 || ----------------
2017-01-26 10:44:59 +0100 || Init application...
2017-01-26 10:44:59 +0100 || Prnstn is starting...
2017-01-26 10:44:59 +0100 || Token provided: 1234
2017-01-26 10:44:59 +0100 || Start application...
2017-01-26 10:44:59 +0100 || Checking printer...
2017-01-26 10:45:10 +0100 || ----------------
2017-01-26 10:45:10 +0100 || PRNSTN 0.1.0 on a Ubuntu 12.04 machine
2017-01-26 10:45:10 +0100 || ----------------
2017-01-26 10:45:10 +0100 || Init application...
2017-01-26 10:45:10 +0100 || Prnstn is starting...
2017-01-26 10:45:10 +0100 || Token provided: 1234
2017-01-26 10:45:10 +0100 || Start application...
2017-01-26 10:45:10 +0100 || Checking printer...
2017-01-26 10:45:19 +0100 || ----------------
2017-01-26 10:45:19 +0100 || PRNSTN 0.1.0 on a Ubuntu 12.04 machine
2017-01-26 10:45:19 +0100 || ----------------
2017-01-26 10:45:19 +0100 || Init application...
2017-01-26 10:45:19 +0100 || Prnstn is starting...
2017-01-26 10:45:19 +0100 || Token provided: 1234
2017-01-26 10:45:19 +0100 || Start application...
2017-01-26 10:45:19 +0100 || Checking printer...
2017-01-26 10:45:38 +0100 || ----------------
2017-01-26 10:45:38 +0100 || PRNSTN 0.1.0 on a Ubuntu 12.04 machine
2017-01-26 10:45:38 +0100 || ----------------
2017-01-26 10:45:38 +0100 || Init application...
2017-01-26 10:45:38 +0100 || Prnstn is starting...
2017-01-26 10:45:38 +0100 || Token provided: 1234
2017-01-26 10:45:38 +0100 || Start application...
2017-01-26 10:45:38 +0100 || Checking printer...
2017-01-26 10:45:38 +0100 || A printer was found. {:state=>:idle, :reasons=>["none"]}
2017-01-26 10:53:07 +0100 || ----------------
2017-01-26 10:53:07 +0100 || PRNSTN 0.1.0 on a Ubuntu 12.04 machine
2017-01-26 10:53:07 +0100 || ----------------
2017-01-26 10:53:07 +0100 || Init application...
2017-01-26 10:53:07 +0100 || Prnstn is starting...
2017-01-26 10:53:07 +0100 || Token provided: 1234
2017-01-26 10:53:07 +0100 || Start application...
2017-01-26 10:53:07 +0100 || Checking printer...
2017-01-26 10:53:07 +0100 || A printer was found. {:state=>:idle, :reasons=>["none"]}
2017-01-26 10:54:07 +0100 || ----------------
2017-01-26 10:54:07 +0100 || PRNSTN 0.1.0 on a Ubuntu 12.04 machine
2017-01-26 10:54:07 +0100 || ----------------
2017-01-26 10:54:07 +0100 || Init application...
2017-01-26 10:54:07 +0100 || Prnstn is starting...
2017-01-26 10:54:07 +0100 || Token provided: 1234
2017-01-26 10:54:07 +0100 || Start application...
2017-01-26 10:54:07 +0100 || Checking printer...
2017-01-26 10:54:30 +0100 || ----------------
2017-01-26 10:54:30 +0100 || PRNSTN 0.1.0 on a Ubuntu 12.04 machine
2017-01-26 10:54:30 +0100 || ----------------
2017-01-26 10:54:30 +0100 || Init application...
2017-01-26 10:54:30 +0100 || Prnstn is starting...
2017-01-26 10:54:30 +0100 || Token provided: 1234
2017-01-26 10:54:30 +0100 || Start application...
2017-01-26 10:54:30 +0100 || Checking printer...
2017-01-26 10:54:45 +0100 || ----------------
2017-01-26 10:54:45 +0100 || PRNSTN 0.1.0 on a Ubuntu 12.04 machine
2017-01-26 10:54:45 +0100 || ----------------
2017-01-26 10:54:45 +0100 || Init application...
2017-01-26 10:54:45 +0100 || Prnstn is starting...
2017-01-26 10:54:45 +0100 || Token provided: 1234
2017-01-26 10:54:45 +0100 || Start application...
2017-01-26 10:54:45 +0100 || Checking printer...
2017-01-26 10:55:05 +0100 || ----------------
2017-01-26 10:55:05 +0100 || PRNSTN 0.1.0 on a Ubuntu 12.04 machine
2017-01-26 10:55:05 +0100 || ----------------
2017-01-26 10:55:05 +0100 || Init application...
2017-01-26 10:55:05 +0100 || Prnstn is starting...
2017-01-26 10:55:05 +0100 || Token provided: 1234
2017-01-26 10:55:05 +0100 || Start application...
2017-01-26 10:55:05 +0100 || Checking printer...
2017-01-26 10:55:41 +0100 || ----------------
2017-01-26 10:55:41 +0100 || PRNSTN 0.1.0 on a Ubuntu 12.04 machine
2017-01-26 10:55:41 +0100 || ----------------
2017-01-26 10:55:41 +0100 || Init application...
2017-01-26 10:55:41 +0100 || Prnstn is starting...
2017-01-26 10:55:41 +0100 || Token provided: 1234
2017-01-26 10:55:41 +0100 || Start application...
2017-01-26 10:55:41 +0100 || Checking printer...
2017-01-26 10:56:10 +0100 || ----------------
2017-01-26 10:56:10 +0100 || PRNSTN 0.1.0 on a Ubuntu 12.04 machine
2017-01-26 10:56:10 +0100 || ----------------
2017-01-26 10:56:10 +0100 || Init application...
2017-01-26 10:56:10 +0100 || Prnstn is starting...
2017-01-26 10:56:10 +0100 || Token provided: 1234
2017-01-26 10:56:10 +0100 || Start application...
2017-01-26 10:56:10 +0100 || Checking printer...
2017-01-26 10:56:41 +0100 || ----------------
2017-01-26 10:56:41 +0100 || PRNSTN 0.1.0 on a Ubuntu 12.04 machine
2017-01-26 10:56:41 +0100 || ----------------
2017-01-26 10:56:41 +0100 || Init application...
2017-01-26 10:56:41 +0100 || Prnstn is starting...
2017-01-26 10:56:41 +0100 || Token provided: 1234
2017-01-26 10:56:41 +0100 || Start application...
2017-01-26 10:56:41 +0100 || Checking printer...
2017-01-26 10:56:41 +0100 || A printer was found. HP-Officejet-Pro-8610 (idle) Last usage: 2017-01-26 10:39:36 +0100
2017-01-26 10:56:58 +0100 || ----------------
2017-01-26 10:56:58 +0100 || PRNSTN 0.1.0 on a Ubuntu 12.04 machine
2017-01-26 10:56:58 +0100 || ----------------
2017-01-26 10:56:58 +0100 || Init application...
2017-01-26 10:56:58 +0100 || Prnstn is starting...
2017-01-26 10:56:58 +0100 || Token provided: 1234
2017-01-26 10:56:58 +0100 || Start application...
2017-01-26 10:56:58 +0100 || Checking printer...
2017-01-26 10:56:58 +0100 || A printer was found. ***HP-Officejet-Pro-8610*** (idle) Last usage: 2017-01-26 10:39:36 +0100
2017-01-26 10:57:45 +0100 || ----------------
2017-01-26 10:57:45 +0100 || PRNSTN 0.1.0 on a Ubuntu 12.04 machine
2017-01-26 10:57:45 +0100 || ----------------
2017-01-26 10:57:45 +0100 || Init application...
2017-01-26 10:57:45 +0100 || Prnstn is starting...
2017-01-26 10:57:45 +0100 || Token provided: 1234
2017-01-26 10:57:45 +0100 || Start application...
2017-01-26 10:57:45 +0100 || Checking printer...
2017-01-26 10:57:45 +0100 || A printer was found. ***HP-Officejet-Pro-8610*** (idle) | Copies: 1 | Last usage: 2017-01-26 10:39:36 +0100
2017-01-26 10:58:12 +0100 || ----------------
2017-01-26 10:58:12 +0100 || PRNSTN 0.1.0 on a Ubuntu 12.04 machine
2017-01-26 10:58:12 +0100 || ----------------
2017-01-26 10:58:12 +0100 || Init application...
2017-01-26 10:58:12 +0100 || Prnstn is starting...
2017-01-26 10:58:12 +0100 || Token provided: 1234
2017-01-26 10:58:12 +0100 || Start application...
2017-01-26 10:58:12 +0100 || Checking printer...
2017-01-26 10:58:12 +0100 || A printer was found. ***HP-Officejet-Pro-8610*** (State: idle) | Copies: 1 | Last usage: 2017-01-26 10:39:36 +0100
2017-01-26 10:58:21 +0100 || ----------------
2017-01-26 10:58:21 +0100 || PRNSTN 0.1.0 on a Ubuntu 12.04 machine
2017-01-26 10:58:21 +0100 || ----------------
2017-01-26 10:58:21 +0100 || Init application...
2017-01-26 10:58:21 +0100 || Prnstn is starting...
2017-01-26 10:58:21 +0100 || Token provided: 1234
2017-01-26 10:58:21 +0100 || Start application...
2017-01-26 10:58:21 +0100 || Checking printer...
2017-01-26 10:58:21 +0100 || A printer was found. ***HP-Officejet-Pro-8610*** (State: idle | Copies: 1 | Last usage: 2017-01-26 10:39:36 +0100)
2017-01-26 11:14:11 +0100 || ----------------
2017-01-26 11:14:11 +0100 || PRNSTN 0.1.0 on a Ubuntu 12.04 machine
2017-01-26 11:14:11 +0100 || ----------------
2017-01-26 11:14:11 +0100 || Init application...
2017-01-26 11:14:11 +0100 || Prnstn is starting...
2017-01-26 11:14:11 +0100 || Token provided: 1234
2017-01-26 11:14:11 +0100 || Start application...
2017-01-26 11:14:11 +0100 || Checking printer...
2017-01-26 11:14:11 +0100 || A printer was found! ***HP-Officejet-Pro-8610*** (State: idle | Copies: 1 | Last usage: 2017-01-26 10:39:36 +0100)
2017-01-26 11:14:26 +0100 || ----------------
2017-01-26 11:14:26 +0100 || PRNSTN 0.1.0 on a Ubuntu 12.04 machine
2017-01-26 11:14:26 +0100 || ----------------
2017-01-26 11:14:26 +0100 || Init application...
2017-01-26 11:14:26 +0100 || Prnstn is starting...
2017-01-26 11:14:26 +0100 || Token provided: 1234
2017-01-26 11:14:26 +0100 || Start application...
2017-01-26 11:14:26 +0100 || Checking printer...
2017-01-26 11:14:26 +0100 || A printer was found! *HP-Officejet-Pro-8610* (State: idle | Copies: 1 | Last usage: 2017-01-26 10:39:36 +0100)
2017-01-26 11:18:55 +0100 || ----------------
2017-01-26 11:18:55 +0100 || PRNSTN 0.1.0 on a Ubuntu 12.04 machine
2017-01-26 11:18:55 +0100 || ----------------
2017-01-26 11:18:55 +0100 || Init application...
2017-01-26 11:18:55 +0100 || Prnstn is starting...
2017-01-26 11:18:55 +0100 || Token provided: 1234
2017-01-26 11:18:55 +0100 || Start application...
2017-01-26 11:18:55 +0100 || Checking printer...
2017-01-26 11:18:55 +0100 || A printer was found! *HP-Officejet-Pro-8610* (State: idle | Copies: 1 | Last usage: 2017-01-26 10:39:36 +0100)
2017-01-26 11:18:57 +0100 || ----------------
2017-01-26 11:18:57 +0100 || PRNSTN 0.1.0 on a Ubuntu 12.04 machine
2017-01-26 11:18:57 +0100 || ----------------
2017-01-26 11:18:57 +0100 || Init application...
2017-01-26 11:18:57 +0100 || Prnstn is starting...
2017-01-26 11:18:57 +0100 || Token provided: 1234
2017-01-26 11:18:57 +0100 || Start application...
2017-01-26 11:18:57 +0100 || Checking printer...
2017-01-26 11:18:57 +0100 || A printer was found! *HP-Officejet-Pro-8610* (State: idle | Copies: 1 | Last usage: 2017-01-26 10:39:36 +0100)
2017-01-26 11:20:03 +0100 || ----------------
2017-01-26 11:20:03 +0100 || PRNSTN 0.1.0 on a Ubuntu 12.04 machine
2017-01-26 11:20:03 +0100 || ----------------
2017-01-26 11:20:03 +0100 || Init application...
2017-01-26 11:20:03 +0100 || Prnstn is starting...
2017-01-26 11:20:03 +0100 || Token provided: 1234
2017-01-26 11:20:03 +0100 || Start application...
2017-01-26 11:20:03 +0100 || Checking printer...
2017-01-26 11:20:03 +0100 || A printer was found! *HP-Officejet-Pro-8610* (State: printing | Copies: 1 | Last usage: 2017-01-26 11:19:54 +0100)
2017-01-26 11:20:20 +0100 || ----------------
2017-01-26 11:20:20 +0100 || PRNSTN 0.1.0 on a Ubuntu 12.04 machine
2017-01-26 11:20:20 +0100 || ----------------
2017-01-26 11:20:20 +0100 || Init application...
2017-01-26 11:20:20 +0100 || Prnstn is starting...
2017-01-26 11:20:20 +0100 || Token provided: 1234
2017-01-26 11:20:20 +0100 || Start application...
2017-01-26 11:20:20 +0100 || Checking printer...
2017-01-26 11:20:20 +0100 || A printer was found! *HP-Officejet-Pro-8610* (State: printing | Copies: 1 | Last usage: 2017-01-26 11:19:54 +0100)
2017-01-26 11:21:26 +0100 || ----------------
2017-01-26 11:21:26 +0100 || PRNSTN 0.1.0 on a Ubuntu 12.04 machine
2017-01-26 11:21:26 +0100 || ----------------
2017-01-26 11:21:26 +0100 || Init application...
2017-01-26 11:21:26 +0100 || Prnstn is starting...
2017-01-26 11:21:26 +0100 || Token provided: 1234
2017-01-26 11:21:26 +0100 || Start application...
2017-01-26 11:21:26 +0100 || Checking printer...
2017-01-26 11:21:26 +0100 || A printer was found! *HP-Officejet-Pro-8610* (State: printing ...  | Copies: 1 | Last usage: 2017-01-26 11:19:54 +0100)
2017-01-26 11:21:36 +0100 || ----------------
2017-01-26 11:21:36 +0100 || PRNSTN 0.1.0 on a Ubuntu 12.04 machine
2017-01-26 11:21:36 +0100 || ----------------
2017-01-26 11:21:36 +0100 || Init application...
2017-01-26 11:21:36 +0100 || Prnstn is starting...
2017-01-26 11:21:36 +0100 || Token provided: 1234
2017-01-26 11:21:36 +0100 || Start application...
2017-01-26 11:21:36 +0100 || Checking printer...
2017-01-26 11:21:36 +0100 || A printer was found! *HP-Officejet-Pro-8610* (State: printing ["connecting-to-device"]  | Copies: 1 | Last usage: 2017-01-26 11:19:54 +0100)
2017-01-26 11:21:45 +0100 || ----------------
2017-01-26 11:21:45 +0100 || PRNSTN 0.1.0 on a Ubuntu 12.04 machine
2017-01-26 11:21:45 +0100 || ----------------
2017-01-26 11:21:45 +0100 || Init application...
2017-01-26 11:21:45 +0100 || Prnstn is starting...
2017-01-26 11:21:45 +0100 || Token provided: 1234
2017-01-26 11:21:45 +0100 || Start application...
2017-01-26 11:21:45 +0100 || Checking printer...
2017-01-26 11:21:45 +0100 || A printer was found! *HP-Officejet-Pro-8610* (State: printing connecting-to-device  | Copies: 1 | Last usage: 2017-01-26 11:19:54 +0100)
2017-01-26 11:21:54 +0100 || ----------------
2017-01-26 11:21:54 +0100 || PRNSTN 0.1.0 on a Ubuntu 12.04 machine
2017-01-26 11:21:54 +0100 || ----------------
2017-01-26 11:21:54 +0100 || Init application...
2017-01-26 11:21:54 +0100 || Prnstn is starting...
2017-01-26 11:21:54 +0100 || Token provided: 1234
2017-01-26 11:21:54 +0100 || Start application...
2017-01-26 11:21:54 +0100 || Checking printer...
2017-01-26 11:21:54 +0100 || A printer was found! *HP-Officejet-Pro-8610* (State: printing ["connecting-to-device"]  | Copies: 1 | Last usage: 2017-01-26 11:19:54 +0100)
2017-01-26 11:22:32 +0100 || ----------------
2017-01-26 11:22:32 +0100 || PRNSTN 0.1.0 on a Ubuntu 12.04 machine
2017-01-26 11:22:32 +0100 || ----------------
2017-01-26 11:22:32 +0100 || Init application...
2017-01-26 11:22:32 +0100 || Prnstn is starting...
2017-01-26 11:22:32 +0100 || Token provided: 1234
2017-01-26 11:22:32 +0100 || Start application...
2017-01-26 11:22:32 +0100 || Checking printer...
2017-01-26 11:22:32 +0100 || A printer was found! *HP-Officejet-Pro-8610* (State: printing connecting-to-device  | Copies: 1 | Last usage: 2017-01-26 11:19:54 +0100)
2017-01-26 11:23:05 +0100 || ----------------
2017-01-26 11:23:05 +0100 || PRNSTN 0.1.0 on a Ubuntu 12.04 machine
2017-01-26 11:23:05 +0100 || ----------------
2017-01-26 11:23:05 +0100 || Init application...
2017-01-26 11:23:05 +0100 || Prnstn is starting...
2017-01-26 11:23:05 +0100 || Token provided: 1234
2017-01-26 11:23:05 +0100 || Start application...
2017-01-26 11:23:05 +0100 || Checking printer...
2017-01-26 11:23:06 +0100 || A printer was found! *HP-Officejet-Pro-8610* | State: printing "connecting-to-device"  | Copies: 1 | Last usage: 2017-01-26 11:19:54 +0100)
2017-01-26 11:23:23 +0100 || ----------------
2017-01-26 11:23:23 +0100 || PRNSTN 0.1.0 on a Ubuntu 12.04 machine
2017-01-26 11:23:23 +0100 || ----------------
2017-01-26 11:23:23 +0100 || Init application...
2017-01-26 11:23:23 +0100 || Prnstn is starting...
2017-01-26 11:23:23 +0100 || Token provided: 1234
2017-01-26 11:23:23 +0100 || Start application...
2017-01-26 11:23:23 +0100 || Checking printer...
2017-01-26 11:23:23 +0100 || A printer was found! *HP-Officejet-Pro-8610* | State: printing ~ "connecting-to-device"  | Copies: 1 | Last usage: 2017-01-26 11:19:54 +0100)
2017-01-26 11:24:38 +0100 || ----------------
2017-01-26 11:24:38 +0100 || PRNSTN 0.1.0 on a Ubuntu 12.04 machine
2017-01-26 11:24:38 +0100 || ----------------
2017-01-26 11:24:38 +0100 || Init application...
2017-01-26 11:24:38 +0100 || No token provided. Quitting...
2017-01-26 11:25:39 +0100 || ----------------
2017-01-26 11:25:39 +0100 || PRNSTN 0.1.0 on a Ubuntu 12.04 machine
2017-01-26 11:25:39 +0100 || ----------------
2017-01-26 11:25:39 +0100 || Init application...
2017-01-26 11:25:39 +0100 || No token provided. Quitting...
2017-01-26 11:25:46 +0100 || ----------------
2017-01-26 11:25:46 +0100 || PRNSTN 0.1.0 on a Ubuntu 12.04 machine
2017-01-26 11:25:46 +0100 || ----------------
2017-01-26 11:25:46 +0100 || Init application...
2017-01-26 11:25:46 +0100 || Prnstn is starting...
2017-01-26 11:25:46 +0100 || Token provided: 1234
2017-01-26 11:25:46 +0100 || Start application...
2017-01-26 11:25:46 +0100 || Checking printer...
2017-01-26 11:25:46 +0100 || A printer was found! *HP-Officejet-Pro-8610* | State: printing ~ "connecting-to-device"  | Copies: 1 | Last usage: 2017-01-26 11:19:54 +0100)
2017-01-26 11:26:05 +0100 || ----------------
2017-01-26 11:26:05 +0100 || PRNSTN 0.1.0 on a Ubuntu 12.04 machine
2017-01-26 11:26:05 +0100 || ----------------
2017-01-26 11:26:05 +0100 || Init application...
2017-01-26 11:26:05 +0100 || Prnstn is starting...
2017-01-26 11:26:05 +0100 || Token provided: 1234
2017-01-26 11:26:05 +0100 || Start application...
2017-01-26 11:26:05 +0100 || Checking printer...
2017-01-26 11:26:05 +0100 || A printer was found! *HP-Officejet-Pro-8610* | State: printing ~ "connecting-to-device"  | Copies: 1 | Last usage: 2017-01-26 11:19:54 +0100)
2017-01-26 11:26:22 +0100 || ----------------
2017-01-26 11:26:22 +0100 || PRNSTN 0.1.0 on a Ubuntu 12.04 machine
2017-01-26 11:26:22 +0100 || ----------------
2017-01-26 11:26:22 +0100 || Init application...
2017-01-26 11:26:22 +0100 || Prnstn is starting...
2017-01-26 11:26:22 +0100 || Token provided: 1234
2017-01-26 11:26:22 +0100 || Start application...
2017-01-26 11:26:22 +0100 || Checking printer...
2017-01-26 11:26:23 +0100 || A printer was found! *HP-Officejet-Pro-8610* | State: printing ~ "connecting-to-device"  | Copies: 1 | Last usage: 2017-01-26 11:19:54 +0100)
2017-01-26 11:26:24 +0100 || ----------------
2017-01-26 11:26:24 +0100 || PRNSTN 0.1.0 on a Ubuntu 12.04 machine
2017-01-26 11:26:24 +0100 || ----------------
2017-01-26 11:26:24 +0100 || Init application...
2017-01-26 11:26:24 +0100 || Prnstn is starting...
2017-01-26 11:26:24 +0100 || Token provided: 1234
2017-01-26 11:26:24 +0100 || Start application...
2017-01-26 11:26:24 +0100 || Checking printer...
2017-01-26 11:26:24 +0100 || A printer was found! *HP-Officejet-Pro-8610* | State: printing ~ "connecting-to-device"  | Copies: 1 | Last usage: 2017-01-26 11:19:54 +0100)
2017-01-26 11:27:17 +0100 || ----------------
2017-01-26 11:27:17 +0100 || PRNSTN 0.1.0 on a Ubuntu 12.04 machine
2017-01-26 11:27:17 +0100 || ----------------
2017-01-26 11:27:17 +0100 || Init application...
2017-01-26 11:27:17 +0100 || Prnstn is starting...
2017-01-26 11:27:17 +0100 || Token provided: 1234
2017-01-26 11:27:17 +0100 || Start application...
2017-01-26 11:27:17 +0100 || Checking printer...
2017-01-26 11:27:17 +0100 || A printer was found! *HP-Officejet-Pro-8610* | State: printing ~ "connecting-to-device"  | Copies: 1 | Last usage: 2017-01-26 11:19:54 +0100)
2017-01-26 11:27:19 +0100 || ----------------
2017-01-26 11:27:19 +0100 || PRNSTN 0.1.0 on a Ubuntu 12.04 machine
2017-01-26 11:27:19 +0100 || ----------------
2017-01-26 11:27:19 +0100 || Init application...
2017-01-26 11:27:19 +0100 || Prnstn is starting...
2017-01-26 11:27:19 +0100 || Token provided: 1234
2017-01-26 11:27:19 +0100 || Start application...
2017-01-26 11:27:19 +0100 || Checking printer...
2017-01-26 11:27:19 +0100 || A printer was found! *HP-Officejet-Pro-8610* | State: printing ~ "connecting-to-device"  | Copies: 1 | Last usage: 2017-01-26 11:19:54 +0100)
2017-01-26 11:27:35 +0100 || ----------------
2017-01-26 11:27:35 +0100 || PRNSTN 0.1.0 on a Ubuntu 12.04 machine
2017-01-26 11:27:35 +0100 || ----------------
2017-01-26 11:27:35 +0100 || Init application...
2017-01-26 11:27:35 +0100 || Prnstn is starting...
2017-01-26 11:27:35 +0100 || Token provided: 1234
2017-01-26 11:27:35 +0100 || Start application...
2017-01-26 11:27:35 +0100 || Checking printer...
2017-01-26 11:27:35 +0100 || A printer was found! *HP-Officejet-Pro-8610* | State: printing ~ "connecting-to-device"  | Copies: 1 | Last usage: 2017-01-26 11:19:54 +0100)
2017-01-26 11:27:36 +0100 || ----------------
2017-01-26 11:27:36 +0100 || PRNSTN 0.1.0 on a Ubuntu 12.04 machine
2017-01-26 11:27:36 +0100 || ----------------
2017-01-26 11:27:36 +0100 || Init application...
